source_q,target_q,edge_type,weight
la-35,mock7-q12,same-topic,0.139
la-36,la-37,same-topic,0.109
la-36,la-44,same-topic,0.1
la-36,la-5,same-topic,0.136
la-37,la-36,same-topic,0.139
la-37,la-41,same-topic,0.095
la-38,la-34,same-topic,0.113
la-38,la-39,same-topic,0.087
la-39,la-38,same-topic,0.139
la-39,la-42,same-topic,0.085
la-4,la-31,same-topic,0.085
la-4,la-nat-1,same-topic,0.13
la-40,la-35,same-topic,0.137
la-40,la-45,same-topic,0.087
la-41,la-37,same-topic,0.112
la-41,la-44,same-topic,0.098
la-42,la-34,same-topic,0.08
la-42,la-39,same-topic,0.124
la-42,mock2-q41,same-topic,0.103
la-43,ai-38,cross-domain,0.718
la-43,dsa-64,cross-domain,0.701
la-43,la-31,same-topic,0.084
la-43,la-33,same-topic,0.121
la-43,la-34,same-topic,0.101
la-43,mock2-q38,cross-domain,0.46
la-43,mock6-q28,cross-domain,0.578
la-43,ps-5,cross-domain,0.634
la-44,adaptive-hard-la-1,same-topic,0.115
la-44,la-36,same-topic,0.096
la-44,la-41,same-topic,0.131
la-45,la-35,same-topic,0.089
la-45,la-40,same-topic,0.121
la-45,mock2-q58,same-topic,0.129
la-5,la-36,same-topic,0.102
la-5,la-nat-2,same-topic,0.118
la-6,la-7,same-topic,0.181
la-7,ai-43,cross-domain,0.573
la-7,dbms-4,cross-domain,0.798
la-7,la-6,same-topic,0.211
la-7,mock4-q3,cross-domain,0.642
la-7,mock5-q29,cross-domain,0.635
la-7,mock6-q17,cross-domain,0.645
la-8,la-12,same-topic,0.118
la-8,la-3,same-topic,0.131
la-msq-1,mock6-q37,same-topic,0.15
la-nat-1,la-4,same-topic,0.101
la-nat-1,mock5-q28,same-topic,0.135
la-nat-2,la-5,same-topic,0.114
la-nat-2,mock7-q36,same-topic,0.111
ml-1,ml-10,same-topic,0.128
ml-1,ml-9,same-topic,0.137
ml-10,ml-1,same-topic,0.123
ml-10,ml-11,same-topic,0.114
ml-11,ml-10,same-topic,0.112
ml-11,ml-28,same-topic,0.103
ml-12,ml-13,same-topic,0.119
ml-12,mock7-q32,same-topic,0.112
ml-13,ml-12,same-topic,0.115
ml-13,ml-14,same-topic,0.115
ml-14,ml-13,same-topic,0.121
ml-14,ml-15,same-topic,0.117
ml-15,ml-14,same-topic,0.11
ml-15,ml-18,same-topic,0.111
ml-16,ml-17,same-topic,0.103
ml-16,ml-19,same-topic,0.116
ml-17,ml-16,same-topic,0.134
ml-17,ml-20,same-topic,0.118
ml-18,ml-15,same-topic,0.106
ml-18,ml-19,same-topic,0.107
ml-19,ml-16,same-topic,0.13
ml-19,ml-18,same-topic,0.115
ml-2,ml-28,same-topic,0.123
ml-2,ml-msq-1,same-topic,0.116
ml-20,ml-17,same-topic,0.117
ml-20,ml-24,same-topic,0.115
ml-21,ml-22,same-topic,0.118
ml-21,mock7-q58,same-topic,0.143
ml-22,ml-21,same-topic,0.116
ml-22,ml-23,same-topic,0.117
ml-23,ml-22,same-topic,0.116
ml-23,ml-25,same-topic,0.088
ml-24,ml-20,same-topic,0.11
ml-24,mock2-q47,same-topic,0.094
ml-25,ml-23,same-topic,0.103
ml-25,ml-26,same-topic,0.099
ml-26,ml-25,same-topic,0.132
ml-26,ml-27,same-topic,0.11
ml-27,adaptive-hard-ml-1,same-topic,0.11
ml-27,ml-26,same-topic,0.137
ml-28,ml-11,same-topic,0.107
ml-28,ml-2,same-topic,0.089
ml-29,ml-30,same-topic,0.094
ml-29,ml-7,same-topic,0.101
ml-3,ml-32,same-topic,0.093
ml-3,ml-41,same-topic,0.141
ml-30,ml-29,same-topic,0.155
ml-30,ml-33,same-topic,0.116
ml-31,ml-34,same-topic,0.082
ml-31,mock6-q35,same-topic,0.104
ml-32,ml-3,same-topic,0.115
ml-32,ml-36,same-topic,0.12
ml-33,ml-30,same-topic,0.108
ml-33,ml-35,same-topic,0.114
ml-34,ml-31,same-topic,0.106
ml-34,ml-37,same-topic,0.09
ml-35,ml-33,same-topic,0.135
ml-35,ml-43,same-topic,0.107
ml-36,ml-32,same-topic,0.119
ml-36,ml-38,same-topic,0.119
ml-37,ml-34,same-topic,0.114
ml-37,ml-39,same-topic,0.106
ml-38,ml-36,same-topic,0.104
ml-38,ml-42,same-topic,0.085
ml-39,ml-37,same-topic,0.105
ml-39,ml-40,same-topic,0.113
ml-4,ml-53,same-topic,0.097
ml-4,ml-8,same-topic,0.108
ml-40,ml-39,same-topic,0.121
ml-40,ml-41,same-topic,0.117
ml-41,ml-3,same-topic,0.096
ml-41,ml-40,same-topic,0.134
ml-42,ml-38,same-topic,0.113
ml-42,ml-46,same-topic,0.089
ml-43,ml-35,same-topic,0.102
ml-43,mock2-q63,same-topic,0.123
ml-44,ml-45,same-topic,0.08
ml-44,mock7-q49,same-topic,0.133
ml-45,ai-15,cross-domain,0.776
ml-45,dbms-6,cross-domain,0.574
ml-45,ml-44,same-topic,0.137
ml-45,ml-47,same-topic,0.086
ml-45,mock6-q18,cross-domain,0.641
ml-45,mock6-q30,cross-domain,0.55
ml-45,mock6-q6,cross-domain,0.5
ml-46,ml-42,same-topic,0.128
ml-46,mock3-q28,same-topic,0.098
ml-47,ml-45,same-topic,0.125
ml-47,ml-48,same-topic,0.117
ml-48,ml-47,same-topic,0.12
ml-48,mock5-q44,same-topic,0.142
ml-49,ml-5,same-topic,0.13
ml-49,ml-50,same-topic,0.113
ml-5,ml-49,same-topic,0.117
ml-5,ml-66,same-topic,0.114
ml-50,ml-49,same-topic,0.104
ml-50,ml-61,same-topic,0.097
ml-51,ml-52,same-topic,0.105
ml-51,mock7-q60,same-topic,0.148
ml-52,ml-51,same-topic,0.104
ml-52,ml-62,same-topic,0.098
ml-53,ml-4,same-topic,0.112
ml-53,ml-54,same-topic,0.096
ml-53,ml-59,prerequisite,0.388
ml-54,ml-53,same-topic,0.124
ml-54,ml-56,same-topic,0.099
ml-54,ml-60,prerequisite,0.283
ml-55,ml-57,same-topic,0.119
ml-55,mock7-q51,same-topic,0.12
ml-56,ml-54,same-topic,0.134
ml-56,ml-58,same-topic,0.081
ml-56,ml-64,prerequisite,0.289
ml-57,ml-55,same-topic,0.129
ml-57,ml-59,same-topic,0.109
ml-58,ml-56,same-topic,0.107
ml-58,ml-65,prerequisite,0.239
ml-58,mock3-q57,same-topic,0.094
ml-59,ml-57,same-topic,0.138
ml-59,ml-60,same-topic,0.089
ml-6,ml-9,same-topic,0.099
ml-6,mock7-q35,same-topic,0.114
ml-60,ml-59,same-topic,0.11
ml-60,ml-64,same-topic,0.08
ml-61,ml-50,same-topic,0.111
ml-61,mock4-q39,same-topic,0.106
ml-62,ml-52,same-topic,0.126
ml-62,ml-63,same-topic,0.088
ml-63,ml-62,same-topic,0.129
ml-63,ml-67,same-topic,0.108
ml-64,ml-60,same-topic,0.1
ml-64,ml-65,same-topic,0.106
ml-65,ml-64,same-topic,0.115
ml-65,ml-66,same-topic,0.085
ml-66,ml-5,same-topic,0.087
ml-66,ml-65,same-topic,0.123
ml-67,ml-63,same-topic,0.103
ml-67,mock4-q40,same-topic,0.115
ml-7,ml-29,same-topic,0.107
ml-7,ml-41,prerequisite,0.289
ml-7,mock5-q34,same-topic,0.132
ml-8,ml-4,same-topic,0.087
ml-8,ml-57,prerequisite,0.336
ml-8,mock5-q27,same-topic,0.111
ml-9,ml-1,same-topic,0.12
ml-9,ml-6,same-topic,0.137
ml-msq-1,ai-10,cross-domain,0.528
ml-msq-1,co-24,cross-domain,0.824
ml-msq-1,dbms-10,cross-domain,0.623
ml-msq-1,dsa-38,cross-domain,0.634
ml-msq-1,la-13,cross-domain,0.595
ml-msq-1,ml-2,same-topic,0.107
ml-msq-1,mock2-q62,same-topic,0.108
ml-msq-1,mock6-q3,cross-domain,0.669
ml-msq-1,ps-40,cross-domain,0.504
mock2-q1,co-45,cross-domain,0.75
mock2-q1,dbms-37,cross-domain,0.693
mock2-q1,mock2-q2,same-topic,0.091
mock2-q1,mock2-q29,cross-domain,0.618
mock2-q1,mock2-q4,prerequisite,0.313
mock2-q1,mock2-q49,cross-domain,0.773
mock2-q1,mock3-q57,cross-domain,0.68
mock2-q1,mock4-q5,prerequisite,0.419
mock2-q1,mock5-q40,cross-domain,0.674
mock2-q1,mock5-q51,cross-domain,0.771
mock2-q10,mock3-q10,same-topic,0.093
mock2-q10,mock7-q10,same-topic,0.154
mock2-q11,mock2-q24,same-topic,0.101
mock2-q11,mock2-q3,same-topic,0.124
mock2-q11,ps-35,prerequisite,0.525
mock2-q11,ps-8,prerequisite,0.262
mock2-q12,mock2-q20,same-topic,0.081
mock2-q12,mock2-q65,same-topic,0.138
mock2-q13,la-35,prerequisite,0.339
mock2-q13,mock2-q29,prerequisite,0.325
mock2-q13,mock2-q30,same-topic,0.116
mock2-q14,mock3-q52,same-topic,0.127
mock2-q14,mock4-q22,same-topic,0.118
mock2-q15,co-15,prerequisite,0.404
mock2-q15,co-21,same-topic,0.135
mock2-q15,mock2-q31,same-topic,0.109
mock2-q16,dsa-2,prerequisite,0.343
mock2-q16,dsa-2,same-topic,0.129
mock2-q16,mock2-q21,prerequisite,0.374
mock2-q16,mock3-q14,same-topic,0.091
mock2-q17,ml-1,prerequisite,0.38
mock2-q17,mock2-q18,prerequisite,0.348
mock2-q17,mock3-q17,same-topic,0.091
mock2-q18,mock2-q19,same-topic,0.087
mock2-q18,mock2-q28,prerequisite,0.359
mock2-q18,mock4-q28,prerequisite,0.534
mock2-q19,mock2-q18,same-topic,0.137
mock2-q19,mock3-q18,same-topic,0.102
mock2-q19,mock5-q27,prerequisite,0.379
mock2-q19,mock6-q35,prerequisite,0.398
mock2-q2,mock2-q1,same-topic,0.138
mock2-q2,mock2-q5,prerequisite,0.421
mock2-q2,mock3-q1,same-topic,0.103
mock2-q20,mock2-q12,same-topic,0.13
mock2-q20,mock2-q22,same-topic,0.101
mock2-q21,dsa-10,prerequisite,0.338
mock2-q21,dsa-6,same-topic,0.135
mock2-q21,mock2-q23,same-topic,0.09
mock2-q21,mock2-q25,prerequisite,0.364
mock2-q22,mock2-q20,same-topic,0.113
mock2-q22,mock2-q33,same-topic,0.106
mock2-q23,dsa-22,prerequisite,0.515
mock2-q23,mock2-q21,same-topic,0.125
mock2-q23,mock2-q35,prerequisite,0.332
mock2-q23,mock3-q21,same-topic,0.081
mock2-q24,mock2-q11,same-topic,0.134
mock2-q24,mock3-q3,same-topic,0.099
mock2-q24,ps-40,prerequisite,0.469
mock2-q24,ps-9,prerequisite,0.277
mock2-q25,dsa-62,same-topic,0.131
mock2-q25,mock2-q35,same-topic,0.112
mock2-q26,mock4-q23,same-topic,0.082
mock2-q26,mock4-q37,same-topic,0.134
mock2-q27,mock4-q13,same-topic,0.095
mock2-q27,ps-28,prerequisite,0.258
mock2-q27,ps-3,same-topic,0.128
mock2-q28,co-19,cross-domain,0.823
mock2-q28,dsa-3,cross-domain,0.662
mock2-q28,la-29,cross-domain,0.465
mock2-q28,mock2-q54,cross-domain,0.786
mock2-q28,mock3-q36,cross-domain,0.575
mock2-q28,mock4-q56,same-topic,0.132
mock2-q28,mock6-q35,same-topic,0.084
mock2-q28,mock7-q2,cross-domain,0.633
mock2-q29,co-45,cross-domain,0.579
mock2-q29,dbms-37,cross-domain,0.616
mock2-q29,la-6,prerequisite,0.33
mock2-q29,la-8,prerequisite,0.233
mock2-q29,mock2-q49,cross-domain,0.48
mock2-q29,mock3-q57,cross-domain,0.629
mock2-q29,mock5-q18,same-topic,0.097
mock2-q29,mock5-q40,cross-domain,0.751
mock2-q29,mock5-q51,cross-domain,0.51
mock2-q3,co-19,cross-domain,0.593
mock2-q3,dsa-3,cross-domain,0.799
mock2-q3,la-29,cross-domain,0.671
mock2-q3,mock2-q11,same-topic,0.083
mock2-q3,mock2-q28,cross-domain,0.619
mock2-q3,mock2-q54,cross-domain,0.692
mock2-q3,mock3-q12,prerequisite,0.397
mock2-q3,mock3-q36,cross-domain,0.53
mock2-q3,mock7-q2,cross-domain,0.654
mock2-q3,ps-34,prerequisite,0.504
mock2-q3,ps-5,same-topic,0.118
mock2-q30,la-40,prerequisite,0.308
mock2-q30,mock2-q13,same-topic,0.102
mock2-q30,mock3-q13,same-topic,0.081
mock2-q30,mock5-q18,prerequisite,0.492
mock2-q31,co-16,prerequisite,0.298
mock2-q31,mock2-q15,same-topic,0.102
mock2-q31,mock3-q15,same-topic,0.101
mock2-q32,dbms-21,same-topic,0.159
mock2-q32,mock2-q34,same-topic,0.112
mock2-q33,mock2-q22,same-topic,0.137
mock2-q33,mock4-q31,same-topic,0.089
mock2-q34,dbms-8,same-topic,0.087
mock2-q34,mock2-q32,same-topic,0.119
mock2-q35,mock2-q25,same-topic,0.135
mock2-q35,mock2-q37,same-topic,0.082
mock2-q36,ai-12,same-topic,0.083
mock2-q36,mock3-q53,same-topic,0.144
mock2-q37,ai-46,cross-domain,0.756
mock2-q37,dbms-9,cross-domain,0.72
mock2-q37,la-17,cross-domain,0.656
mock2-q37,mock2-q35,same-topic,0.113
mock2-q37,mock4-q14,same-topic,0.112
mock2-q37,mock4-q18,cross-domain,0.651
mock2-q37,mock6-q31,cross-domain,0.642
mock2-q38,ai-38,cross-domain,0.793
mock2-q38,co-37,cross-domain,0.583
mock2-q38,la-43,cross-domain,0.534
mock2-q38,mock2-q54,same-topic,0.088
mock2-q38,mock3-q59,same-topic,0.109
mock2-q38,mock6-q28,cross-domain,0.694
mock2-q38,mock6-q7,cross-domain,0.65
mock2-q39,mock2-q51,same-topic,0.089
mock2-q39,mock3-q63,same-topic,0.147
mock2-q4,mock2-q5,same-topic,0.082
mock2-q4,mock4-q2,prerequisite,0.504
mock2-q4,mock4-q4,prerequisite,0.293
mock2-q40,mock2-q56,same-topic,0.116
mock2-q40,ps-1,same-topic,0.158
mock2-q41,la-42,same-topic,0.115
mock2-q41,mock3-q41,same-topic,0.093
mock2-q42,dbms-24,same-topic,0.121
mock2-q42,mock2-q43,same-topic,0.088
mock2-q43,mock2-q42,same-topic,0.135
mock2-q43,mock3-q32,same-topic,0.093
mock2-q44,dsa-63,same-topic,0.133
mock2-q44,mock3-q35,same-topic,0.1
mock2-q45,mock2-q46,same-topic,0.091
mock2-q45,mock2-q7,same-topic,0.126
mock2-q46,mock2-q45,same-topic,0.109
mock2-q46,mock2-q57,same-topic,0.098
mock2-q47,ml-24,same-topic,0.129
mock2-q47,mock3-q33,same-topic,0.094
mock2-q48,mock3-q48,same-topic,0.081
mock2-q48,mock3-q58,same-topic,0.128
mock2-q49,ai-1,same-topic,0.134
mock2-q49,co-45,cross-domain,0.759
mock2-q49,dbms-37,cross-domain,0.731
mock2-q49,mock3-q36,same-topic,0.091
mock2-q49,mock3-q57,cross-domain,0.48
mock2-q49,mock5-q51,cross-domain,0.71
mock2-q5,mock2-q4,same-topic,0.121
mock2-q5,mock3-q4,same-topic,0.095
mock2-q5,mock4-q6,prerequisite,0.467
mock2-q5,mock5-q10,prerequisite,0.362
mock2-q50,ai-15,cross-domain,0.704
mock2-q50,dbms-6,cross-domain,0.495
mock2-q50,ml-45,cross-domain,0.475
mock2-q50,mock2-q6,same-topic,0.131
mock2-q50,mock3-q6,same-topic,0.103
mock2-q50,mock6-q18,cross-domain,0.762
mock2-q50,mock6-q30,cross-domain,0.613
mock2-q50,mock6-q6,cross-domain,0.619
mock2-q50,ps-43,cross-domain,0.658
mock2-q51,mock2-q39,same-topic,0.124
mock2-q51,mock3-q39,same-topic,0.103
mock2-q52,mock2-q61,same-topic,0.126
mock2-q52,mock3-q52,same-topic,0.099
mock2-q53,ai-22,prerequisite,0.279
mock2-q53,ai-28,prerequisite,0.418
mock2-q53,ai-8,same-topic,0.127
mock2-q53,mock3-q53,same-topic,0.085
mock2-q54,la-29,cross-domain,0.801
mock2-q54,mock2-q3,cross-domain,0.533
mock2-q54,mock2-q38,same-topic,0.132
mock2-q54,mock3-q36,cross-domain,0.608
mock2-q54,mock3-q38,same-topic,0.086
mock2-q54,mock7-q2,cross-domain,0.803
mock2-q55,mock3-q43,same-topic,0.147
mock2-q55,mock3-q55,same-topic,0.086
mock2-q56,mock2-q40,same-topic,0.108
mock2-q56,mock3-q40,same-topic,0.093
mock2-q57,mock2-q46,same-topic,0.114
mock2-q57,mock3-q7,same-topic,0.091
mock2-q58,la-45,same-topic,0.148
mock2-q58,mock3-q30,same-topic,0.106
mock2-q59,dsa-46,same-topic,0.15
mock2-q59,mock2-q61,same-topic,0.087
mock2-q6,co-24,same-topic,0.124
mock2-q6,mock2-q50,same-topic,0.093
mock2-q60,co-18,same-topic,0.118
mock2-q60,mock3-q61,same-topic,0.097
mock2-q61,mock2-q52,same-topic,0.113
mock2-q61,mock2-q59,same-topic,0.126
mock2-q62,ml-msq-1,same-topic,0.131
mock2-q62,mock2-q65,same-topic,0.113
mock2-q63,ml-43,same-topic,0.129
mock2-q63,mock2-q64,same-topic,0.101
mock2-q64,mock2-q63,same-topic,0.12
mock2-q64,mock4-q56,same-topic,0.084
mock2-q65,mock2-q12,same-topic,0.122
mock2-q65,mock2-q62,same-topic,0.106
mock2-q7,mock2-q45,same-topic,0.107
mock2-q7,ps-25,same-topic,0.143
mock2-q8,co-46,same-topic,0.153
mock2-q8,mock3-q8,same-topic,0.093
mock2-q9,mock3-q9,same-topic,0.116
mock2-q9,mock7-q7,same-topic,0.165
mock3-q1,mock2-q2,same-topic,0.101
mock3-q1,mock3-q2,same-topic,0.116
mock3-q1,mock3-q4,prerequisite,0.494
mock3-q10,mock2-q10,same-topic,0.11
mock3-q10,mock5-q5,same-topic,0.126
mock3-q11,mock3-q24,same-topic,0.108
mock3-q11,mock3-q3,same-topic,0.134
mock3-q11,ps-20,prerequisite,0.38
mock3-q12,mock7-q53,same-topic,0.126
mock3-q12,ps-8,same-topic,0.112
mock3-q13,la-45,prerequisite,0.233
mock3-q13,mock2-q30,same-topic,0.101
mock3-q13,mock4-q19,same-topic,0.092
mock3-q13,mock6-q23,prerequisite,0.39
mock3-q14,mock2-q14,prerequisite,0.389
mock3-q14,mock2-q16,same-topic,0.115
mock3-q14,mock2-q23,prerequisite,0.383
mock3-q14,mock3-q16,same-topic,0.106
mock3-q15,co-22,prerequisite,0.368
mock3-q15,co-7,same-topic,0.113
mock3-q15,mock2-q31,same-topic,0.115
mock3-q16,mock3-q14,same-topic,0.106
mock3-q16,mock3-q21,prerequisite,0.474
mock3-q16,mock4-q22,prerequisite,0.325
mock3-q16,mock5-q19,same-topic,0.116
mock3-q17,ml-2,prerequisite,0.347
mock3-q17,mock2-q17,same-topic,0.138
mock3-q17,mock2-q19,prerequisite,0.368
mock3-q17,mock3-q20,same-topic,0.109
mock3-q18,ml-31,prerequisite,0.341
mock3-q18,ml-8,prerequisite,0.519
mock3-q18,mock2-q19,same-topic,0.121
mock3-q18,mock3-q19,same-topic,0.106
mock3-q19,ml-34,prerequisite,0.4
mock3-q19,ml-4,prerequisite,0.537
mock3-q19,mock3-q18,same-topic,0.104
mock3-q19,mock4-q21,same-topic,0.082
mock3-q2,ai-17,cross-domain,0.471
mock3-q2,co-57,cross-domain,0.785
mock3-q2,dsa-6,cross-domain,0.464
mock3-q2,la-15,cross-domain,0.787
mock3-q2,mock3-q1,same-topic,0.115
mock3-q2,mock3-q32,cross-domain,0.73
mock3-q2,mock3-q5,prerequisite,0.398
mock3-q2,mock4-q1,same-topic,0.098
mock3-q2,mock5-q45,cross-domain,0.499
mock3-q2,mock7-q54,cross-domain,0.482
mock3-q20,ml-msq-1,prerequisite,0.372
mock3-q20,mock3-q17,same-topic,0.115
mock3-q20,mock3-q18,prerequisite,0.507
mock3-q20,mock3-q22,same-topic,0.109
mock3-q21,dsa-4,prerequisite,0.536
mock3-q21,mock2-q23,same-topic,0.113
mock3-q21,mock2-q37,prerequisite,0.354
mock3-q21,mock3-q23,same-topic,0.098
mock3-q22,mock2-q12,prerequisite,0.316
mock3-q22,mock3-q19,prerequisite,0.453
mock3-q22,mock3-q20,same-topic,0.135
mock3-q22,mock4-q17,same-topic,0.112
mock3-q23,dsa-7,prerequisite,0.476
mock3-q23,mock3-q21,same-topic,0.121
mock3-q23,mock3-q25,same-topic,0.103
mock3-q23,mock4-q14,prerequisite,0.359
mock3-q24,mock3-q11,same-topic,0.115
mock3-q24,mock4-q12,same-topic,0.091
mock3-q24,ps-21,prerequisite,0.424
mock3-q25,mock3-q23,same-topic,0.107
mock3-q25,mock4-q15,same-topic,0.111
mock3-q25,mock4-q34,prerequisite,0.362
mock3-q26,mock3-q27,same-topic,0.083
mock3-q26,ps-46,same-topic,0.146
mock3-q27,mock3-q26,same-topic,0.103
mock3-q27,mock4-q47,same-topic,0.1
mock3-q28,ml-46,same-topic,0.148
mock3-q28,mock4-q42,same-topic,0.103
mock3-q29,la-30,same-topic,0.153
mock3-q29,mock4-q11,same-topic,0.108
mock3-q3,mock2-q24,same-topic,0.118
mock3-q3,mock3-q11,same-topic,0.104
mock3-q3,ps-10,prerequisite,0.413
mock3-q3,ps-41,prerequisite,0.47
mock3-q30,mock2-q58,same-topic,0.116
mock3-q30,mock3-q58,same-topic,0.112
mock3-q31,mock3-q50,same-topic,0.091
mock3-q31,mock3-q6,same-topic,0.114
mock3-q32,ai-17,cross-domain,0.652
mock3-q32,la-15,cross-domain,0.569
mock3-q32,mock2-q43,same-topic,0.122
mock3-q32,mock3-q34,same-topic,0.08
mock3-q32,mock7-q54,cross-domain,0.513
mock3-q33,mock2-q47,same-topic,0.106
mock3-q33,mock3-q47,same-topic,0.084
mock3-q34,mock3-q32,same-topic,0.139
mock3-q34,mock3-q42,same-topic,0.102
mock3-q35,mock2-q44,same-topic,0.111
mock3-q35,mock3-q37,same-topic,0.088
mock3-q36,co-19,cross-domain,0.665
mock3-q36,dsa-3,cross-domain,0.67
mock3-q36,mock2-q49,same-topic,0.101
mock3-q36,mock2-q54,cross-domain,0.745
mock3-q36,mock3-q49,same-topic,0.102
mock3-q36,mock7-q2,cross-domain,0.48
mock3-q37,mock3-q35,same-topic,0.106
mock3-q37,mock3-q44,same-topic,0.089
mock3-q38,mock2-q54,same-topic,0.137
mock3-q38,mock3-q54,same-topic,0.082
mock3-q39,mock2-q51,same-topic,0.126
mock3-q39,mock3-q51,same-topic,0.105
mock3-q4,mock2-q5,same-topic,0.137
mock3-q4,mock3-q5,same-topic,0.115
mock3-q4,mock4-q9,prerequisite,0.472
mock3-q4,mock6-q6,prerequisite,0.307
mock3-q40,mock2-q56,same-topic,0.104
mock3-q40,mock6-q53,same-topic,0.087
mock3-q41,mock2-q41,same-topic,0.123
mock3-q41,mock5-q49,same-topic,0.081
mock3-q42,mock3-q34,same-topic,0.107
mock3-q42,mock3-q43,same-topic,0.1
mock3-q43,mock2-q55,same-topic,0.116
mock3-q43,mock3-q42,same-topic,0.111
mock3-q44,mock3-q37,same-topic,0.113
mock3-q44,mock3-q60,same-topic,0.087
mock3-q45,mock3-q46,same-topic,0.091
mock3-q45,mock3-q7,same-topic,0.132
mock3-q46,mock3-q45,same-topic,0.122
mock3-q46,mock3-q56,same-topic,0.113
mock3-q47,mock3-q33,same-topic,0.121
mock3-q47,mock4-q36,same-topic,0.091
mock3-q48,mock2-q48,same-topic,0.102
mock3-q48,mock5-q28,same-topic,0.12
mock3-q49,mock3-q36,same-topic,0.114
mock3-q49,mock3-q65,same-topic,0.113
mock3-q5,mock3-q4,same-topic,0.115
mock3-q5,mock4-q3,same-topic,0.081
mock3-q5,mock5-q7,prerequisite,0.377
mock3-q5,mock6-q8,prerequisite,0.325
mock3-q50,co-26,same-topic,0.103
mock3-q50,mock3-q31,same-topic,0.106
mock3-q51,dsa-39,same-topic,0.093
mock3-q51,mock3-q39,same-topic,0.124
mock3-q52,mock2-q14,same-topic,0.121
mock3-q52,mock2-q52,same-topic,0.108
mock3-q53,ai-9,prerequisite,0.338
mock3-q53,mock2-q36,same-topic,0.103
mock3-q53,mock2-q53,same-topic,0.118
mock3-q54,adaptive-mix-hard-3,same-topic,0.112
mock3-q54,mock3-q38,same-topic,0.11
mock3-q55,mock2-q55,same-topic,0.105
mock3-q56,mock3-q46,same-topic,0.119
mock3-q56,mock4-q41,same-topic,0.097
mock3-q57,dbms-37,cross-domain,0.615
mock3-q57,ml-58,same-topic,0.127
mock3-q57,ml-66,prerequisite,0.369
mock3-q57,mock2-q29,cross-domain,0.476
mock3-q57,mock2-q49,cross-domain,0.792
mock3-q57,mock3-q62,same-topic,0.111
mock3-q57,mock5-q40,cross-domain,0.691
mock3-q57,mock5-q51,cross-domain,0.641
mock3-q58,mock2-q48,same-topic,0.103
mock3-q58,mock3-q30,same-topic,0.113
mock3-q59,dbms-45,same-topic,0.12
mock3-q59,mock2-q38,same-topic,0.116
mock3-q6,mock2-q50,same-topic,0.128
mock3-q6,mock3-q31,same-topic,0.11
mock3-q60,mock3-q44,same-topic,0.14
mock3-q60,mock4-q46,same-topic,0.096
mock3-q61,co-5,same-topic,0.101
mock3-q61,mock2-q60,same-topic,0.131
mock3-q62,mock3-q57,same-topic,0.139
mock3-q62,mock6-q51,same-topic,0.093
mock3-q63,dsa-43,same-topic,0.154
mock3-q63,mock2-q39,same-topic,0.123
mock3-q64,mock5-q43,same-topic,0.089
mock3-q64,ps-66,same-topic,0.15
mock3-q65,ai-6,same-topic,0.089
mock3-q65,mock3-q49,same-topic,0.137
mock3-q7,mock2-q57,same-topic,0.108
mock3-q7,mock3-q45,same-topic,0.097
mock3-q8,co-41,same-topic,0.094
mock3-q8,mock2-q8,same-topic,0.139
mock3-q9,mock2-q9,same-topic,0.134
mock4-q1,mock3-q2,same-topic,0.124
mock4-q1,mock4-q3,prerequisite,0.428
mock4-q1,mock5-q1,same-topic,0.1
mock4-q10,mock4-q8,same-topic,0.13
mock4-q10,mock5-q3,same-topic,0.119
mock4-q11,mock3-q29,same-topic,0.137
mock4-q11,mock4-q32,same-topic,0.08
mock4-q12,mock3-q24,same-topic,0.121
mock4-q12,mock4-q27,same-topic,0.099
mock4-q12,ps-2,prerequisite,0.3
mock4-q13,mock2-q27,same-topic,0.11
mock4-q13,mock5-q13,same-topic,0.11
mock4-q13,ps-29,prerequisite,0.302
mock4-q14,mock2-q37,same-topic,0.111
mock4-q14,mock4-q34,same-topic,0.086
mock4-q15,mock3-q25,same-topic,0.113
mock4-q15,mock4-q24,same-topic,0.085
mock4-q15,mock5-q25,prerequisite,0.364
mock4-q16,dbms-16,same-topic,0.125
mock4-q16,dbms-37,prerequisite,0.457
mock4-q16,mock2-q32,prerequisite,0.279
mock4-q16,mock4-q25,same-topic,0.109
mock4-q17,mock2-q20,prerequisite,0.348
mock4-q17,mock3-q22,same-topic,0.136
mock4-q17,mock4-q18,same-topic,0.088
mock4-q17,mock4-q21,prerequisite,0.477
mock4-q18,ai-46,cross-domain,0.639
mock4-q18,dbms-9,cross-domain,0.566
mock4-q18,la-17,cross-domain,0.712
mock4-q18,mock2-q22,prerequisite,0.259
mock4-q18,mock2-q37,cross-domain,0.76
mock4-q18,mock4-q17,same-topic,0.103
mock4-q18,mock4-q20,same-topic,0.106
mock4-q18,mock5-q6,cross-domain,0.628
mock4-q18,mock6-q31,cross-domain,0.586
mock4-q19,la-35,prerequisite,0.419
mock4-q19,mock3-q13,same-topic,0.123
mock4-q19,mock5-q11,same-topic,0.109
mock4-q19,mock6-q30,prerequisite,0.45
mock4-q2,mock4-q6,same-topic,0.092
mock4-q2,mock5-q5,prerequisite,0.351
mock4-q20,mock2-q33,prerequisite,0.35
mock4-q20,mock4-q18,same-topic,0.122
mock4-q20,mock4-q26,same-topic,0.109
mock4-q21,ml-37,prerequisite,0.29
mock4-q21,ml-53,prerequisite,0.37
mock4-q21,mock3-q19,same-topic,0.116
